sentiment,confidence
NEGATIVE,0.9990233182907104
NEGATIVE,0.9929252862930298
NEGATIVE,0.9832946062088012
NEGATIVE,0.9904904365539552
NEGATIVE,0.9875202178955078
NEGATIVE,0.9808449745178224
NEGATIVE,0.9299170970916748
NEGATIVE,0.9932905435562134
NEGATIVE,0.9867153763771056
NEGATIVE,0.9944559931755066
NEGATIVE,0.9966290593147278
NEGATIVE,0.9969356060028076
NEGATIVE,0.9929758310317992
NEGATIVE,0.9977148771286012
NEGATIVE,0.9969547986984252
NEGATIVE,0.6344188451766968
NEGATIVE,0.9625696539878844
NEGATIVE,0.9870067834854126
NEGATIVE,0.9986602067947388
NEGATIVE,0.9882090091705322
POSITIVE,0.8484338521957397
NEGATIVE,0.8869882225990295
NEGATIVE,0.992583394050598
NEGATIVE,0.9994643330574036
NEGATIVE,0.5853413939476013
NEGATIVE,0.851782500743866
POSITIVE,0.992013156414032
NEGATIVE,0.9980058073997498
NEGATIVE,0.9981087446212769
POSITIVE,0.9743372201919556
NEGATIVE,0.9936634302139282
POSITIVE,0.9955280423164368
NEGATIVE,0.9971272349357604
NEGATIVE,0.9972810745239258
NEGATIVE,0.9985759258270264
NEGATIVE,0.994304358959198
NEGATIVE,0.9894115328788756
NEGATIVE,0.9771478176116944
NEGATIVE,0.99083811044693
NEGATIVE,0.9953848719596864
POSITIVE,0.9746152758598328
NEGATIVE,0.9662617444992064
NEGATIVE,0.997126042842865
NEGATIVE,0.9945388436317444
POSITIVE,0.5658957958221436
NEGATIVE,0.9948941469192504
NEGATIVE,0.5735459327697754
NEGATIVE,0.8799592852592468
NEGATIVE,0.9967182278633118
NEGATIVE,0.988358199596405
POSITIVE,0.644097626209259
NEGATIVE,0.9348403215408324
NEGATIVE,0.9937952756881714
NEGATIVE,0.8217759132385254
NEGATIVE,0.7013217806816101
NEGATIVE,0.9905444383621216
POSITIVE,0.9942157864570618
NEGATIVE,0.9859223365783693
POSITIVE,0.9412620067596436
NEGATIVE,0.9977391958236694
POSITIVE,0.9920847415924072
NEGATIVE,0.9492781758308412
NEGATIVE,0.9953917264938354
POSITIVE,0.9936842322349548
NEGATIVE,0.997731387615204
POSITIVE,0.9968750476837158
NEGATIVE,0.9988730549812316
POSITIVE,0.9771320223808287
NEGATIVE,0.9874573349952698
NEGATIVE,0.8596792817115784
NEGATIVE,0.9957131147384644
NEGATIVE,0.989535629749298
NEGATIVE,0.8792605400085449
NEGATIVE,0.9932367205619812
NEGATIVE,0.948698341846466
NEGATIVE,0.9980331063270568
NEGATIVE,0.9822775721549988
NEGATIVE,0.9659512042999268
NEGATIVE,0.9656094908714294
NEGATIVE,0.9170912504196168
NEGATIVE,0.989592432975769
NEGATIVE,0.9944202303886414
NEGATIVE,0.9939542412757874
POSITIVE,0.995097815990448
POSITIVE,0.5715001225471497
POSITIVE,0.9688369631767272
NEGATIVE,0.9711215496063232
POSITIVE,0.9925568103790284
NEGATIVE,0.9985700845718384
NEGATIVE,0.9938755631446838
NEGATIVE,0.9903788566589355
NEGATIVE,0.9930134415626526
POSITIVE,0.9788322448730468
NEGATIVE,0.9953525066375732
POSITIVE,0.9507383704185486
NEGATIVE,0.979436218738556
NEGATIVE,0.9975994229316713
NEGATIVE,0.8873212933540344
NEGATIVE,0.9678348898887634
NEGATIVE,0.8633756637573242
NEGATIVE,0.9960606694221495
