top_emotion,top_emotion_score
disgust,0.6855708956718445
neutral,0.7265585064888
fear,0.7988742589950562
fear,0.5217606425285339
disgust,0.6501296758651733
anger,0.7874588966369629
neutral,0.8228516578674316
neutral,0.4458121359348297
neutral,0.6088485717773438
fear,0.8749170303344727
fear,0.8712568283081055
anger,0.800981879234314
neutral,0.6442002654075623
fear,0.6548361778259277
disgust,0.4715951979160309
neutral,0.8196940422058105
anger,0.9598569273948668
disgust,0.5788156390190125
neutral,0.5437847375869751
anger,0.7926903367042542
neutral,0.7785201072692871
neutral,0.4292202591896057
fear,0.9846432209014891
anger,0.7301177382469177
neutral,0.6505737900733948
fear,0.3051905333995819
fear,0.4153584837913513
disgust,0.5352960228919983
anger,0.7604767084121704
neutral,0.6499811410903931
neutral,0.6041616201400757
neutral,0.8144193291664124
fear,0.7941203713417053
sadness,0.6598106622695923
sadness,0.4468282163143158
fear,0.8431951403617859
fear,0.6667505502700806
fear,0.6127089858055115
fear,0.8596184253692627
neutral,0.8167821168899536
neutral,0.4189924001693725
disgust,0.3595196902751922
anger,0.7150002717971802
anger,0.5962398648262024
neutral,0.597811758518219
fear,0.920124351978302
neutral,0.673991858959198
neutral,0.4605779349803924
neutral,0.7970899343490601
fear,0.326214998960495
neutral,0.9041768312454224
anger,0.6647768020629883
neutral,0.8006681799888611
fear,0.7987555861473083
sadness,0.8415512442588806
neutral,0.8759768009185791
fear,0.7669646143913269
fear,0.8380442261695862
neutral,0.8467091917991638
neutral,0.8395571112632751
surprise,0.9581958651542664
neutral,0.6533399224281311
fear,0.9430793523788452
fear,0.965634286403656
disgust,0.3401931226253509
joy,0.6927500367164612
fear,0.6720378398895264
joy,0.3433760702610016
fear,0.950547456741333
neutral,0.6387863159179688
fear,0.970643162727356
anger,0.4625746011734009
neutral,0.7982797622680664
fear,0.938155472278595
neutral,0.7880996465682983
sadness,0.4399907290935516
anger,0.577045738697052
fear,0.8712471723556519
neutral,0.728862464427948
neutral,0.7435919642448425
fear,0.3859456479549408
neutral,0.4549387693405151
fear,0.945565700531006
sadness,0.8871665000915527
neutral,0.4086610674858093
anger,0.9640308618545532
fear,0.9491256475448608
fear,0.7135207653045654
neutral,0.8405135273933411
neutral,0.586520791053772
anger,0.5669199824333191
fear,0.5189841389656067
fear,0.9168637990951538
fear,0.7635043859481812
neutral,0.8901713490486145
neutral,0.9106813073158264
neutral,0.6259191036224365
anger,0.8257512450218201
neutral,0.6155850887298584
neutral,0.931112825870514
neutral,0.7467008233070374
disgust,0.9177334904670716
fear,0.7919968962669373
fear,0.9090187549591064
neutral,0.7026669979095459
anger,0.4708459377288818
anger,0.7657006978988647
sadness,0.7885968089103699
neutral,0.882932186126709
disgust,0.5010924935340881
fear,0.9252310991287231
fear,0.6146302223205566
fear,0.409532219171524
sadness,0.7743915915489197
neutral,0.8374739289283752
neutral,0.4289131164550781
fear,0.5311464071273804
neutral,0.4723015427589416
neutral,0.5363578200340271
neutral,0.7998321652412415
fear,0.953973114490509
fear,0.8937893509864807
anger,0.8434692025184631
neutral,0.7269172668457031
fear,0.4331715404987335
fear,0.5471307635307312
anger,0.4286989569664001
neutral,0.6888090968132019
surprise,0.482121855020523
fear,0.6592170000076294
fear,0.8413652777671814
fear,0.4241962432861328
disgust,0.5655438303947449
neutral,0.872002363204956
anger,0.8984139561653137
fear,0.6519113779067993
neutral,0.5913680791854858
anger,0.9602886438369752
neutral,0.8944566249847412
neutral,0.7477166056632996
fear,0.8845888376235962
neutral,0.4806863665580749
neutral,0.9087499380111694
fear,0.9235004186630248
anger,0.6097008585929871
anger,0.7854087948799133
fear,0.426861971616745
fear,0.6161161661148071
fear,0.8072518706321716
sadness,0.5407205820083618
disgust,0.8268096446990967
fear,0.9122685194015504
anger,0.3710736334323883
fear,0.3516652286052704
disgust,0.3817369639873504
surprise,0.8316059708595276
disgust,0.3776817321777344
neutral,0.8601298928260803
anger,0.598111629486084
fear,0.9622105360031128
sadness,0.4903947412967682
joy,0.3061806559562683
fear,0.8628218173980713
fear,0.9747057557106018
neutral,0.5849423408508301
neutral,0.5472679734230042
fear,0.366105318069458
anger,0.8652360439300537
neutral,0.3537745177745819
sadness,0.6636255383491516
disgust,0.8856250643730164
anger,0.8197836875915527
fear,0.6912145614624023
fear,0.7156403660774231
neutral,0.4863537549972534
neutral,0.4559349119663238
fear,0.9744589924812316
fear,0.7801412343978882
neutral,0.560599148273468
fear,0.8629969954490662
neutral,0.4770724475383758
fear,0.4437969923019409
anger,0.4327520728111267
anger,0.4289015829563141
neutral,0.7645162343978882
fear,0.8785741329193115
fear,0.6365742683410645
fear,0.3084214329719543
anger,0.6447806358337402
fear,0.9700109362602234
neutral,0.6289567947387695
neutral,0.6458010077476501
fear,0.3583729565143585
fear,0.7422753572463989
anger,0.5392817258834839
fear,0.9947344064712524
neutral,0.4751377999782562
sadness,0.5956208109855652
fear,0.7733911275863647
anger,0.7960829138755798
neutral,0.5056740641593933
neutral,0.7948415279388428
neutral,0.8625007271766663
